Disease,DOIDId,Symptom,SymptomId,,,Total number of disease
Autoimmune pancreatitis,DOID:0040091,pain ,SYMP:0000099,,,11507
Autoimmune pancreatitis,DOID:0040091,weakness ,SYMP:0000177,,,
Autoimmune pancreatitis,DOID:0040091,weight loss ,SYMP:0000178,,,
Autoimmune pancreatitis,DOID:0040091,tiredness ,SYMP:0000187,,,
Autoimmune pancreatitis,DOID:0040091,loss of appetite ,SYMP:0000309,,,
Autoimmune pancreatitis,DOID:0040091,nausea ,SYMP:0000458,,,
Autoimmune pancreatitis,DOID:0040091,jaundice ,SYMP:0000539,,,
Autoimmune pancreatitis,DOID:0040091,vomiting ,SYMP:0019145,,,
Autoimmune pancreatitis,DOID:0040091,dark urine ,SYMP:0020043,,,
Autoimmune pancreatitis,DOID:0040091,is_a,DOID:0060005,,,
Autoimmune pancreatitis,DOID:0040091,is_a,DOID:26,,,
Autoimmune hepatitis,DOID:2048,hepatitis ,SYMP:0000046,,,
Autoimmune hepatitis,DOID:2048,joint pain ,SYMP:0000064,,,
Autoimmune hepatitis,DOID:2048,pain ,SYMP:0000099,,,
Autoimmune hepatitis,DOID:2048,abdominal discomfort ,SYMP:0000188,,,
Autoimmune hepatitis,DOID:2048,rash ,SYMP:0000487,,,
Autoimmune hepatitis,DOID:2048,jaundice ,SYMP:0000539,,,
Autoimmune hepatitis,DOID:2048,fatigue ,SYMP:0019177,,,
Autoimmune hepatitis,DOID:2048,is_a,DOID:0060031,,,
Autonomic neuropathy,DOID:11504,loss of appetite ,SYMP:0000309,,,
Autonomic neuropathy,DOID:11504,bloating ,SYMP:0000420,,,
Autonomic neuropathy,DOID:11504,nausea ,SYMP:0000458,,,
Autonomic neuropathy,DOID:11504,diarrhea ,SYMP:0000570,,,
Autonomic neuropathy,DOID:11504,dizziness ,SYMP:0000610,,,
Autonomic neuropathy,DOID:11504,vomiting ,SYMP:0019145,,,
Autonomic neuropathy,DOID:11504,constipation ,SYMP:0019180,,,
Autonomic neuropathy,DOID:11504,blood pressure ,SYMP:0020063,,,
Autonomic neuropathy,DOID:11504,is_a,DOID:11465,,,
Bursitis,DOID:2965,is_a,DOID:381,,,
Patellar tendinitis,DOID:10471,pain ,SYMP:0000099,,,
Patellar tendinitis,DOID:10471,is_a,DOID:971,,,
Osteoporosis,DOID:11476,pain ,SYMP:0000099,,,
Osteoporosis,DOID:11476,loss of height ,SYMP:0000616,,,
Osteoporosis,DOID:11476,is_a,DOID:0080011,,,
Ewing sarcoma,DOID:3369,pain ,SYMP:0000099,,,
Ewing sarcoma,DOID:3369,tiredness ,SYMP:0000187,,,
Ewing sarcoma,DOID:3369,coma ,SYMP:0000605,,,
Ewing sarcoma,DOID:3369,fever ,SYMP:0000613,,,
Ewing sarcoma,DOID:3369,bone pain ,SYMP:0020023,,,
Ewing sarcoma,DOID:3369,is_a,DOID:1115,,,
Ewing sarcoma,DOID:3369,is_a,DOID:201,,,
Myocarditis,DOID:820,joint pain ,SYMP:0000064,,,
Myocarditis,DOID:820,myocarditis ,SYMP:0000095,,,
Myocarditis,DOID:820,pain ,SYMP:0000099,,,
Myocarditis,DOID:820,body ache ,SYMP:0000230,,,
Myocarditis,DOID:820,arrhythmia ,SYMP:0000287,,,
Myocarditis,DOID:820,headache ,SYMP:0000504,,,
Myocarditis,DOID:820,chest pain ,SYMP:0000576,,,
Myocarditis,DOID:820,fever ,SYMP:0000613,,,
Myocarditis,DOID:820,fatigue ,SYMP:0019177,,,
Myocarditis,DOID:820,is_a,DOID:3978,,,
Myofascial pain syndrome,DOID:431,pain ,SYMP:0000099,,,
Myofascial pain syndrome,DOID:431,is_a,DOID:423,,,
Osteochondritis dissecans,DOID:84,pain ,SYMP:0000099,,,
Osteochondritis dissecans,DOID:84,weakness ,SYMP:0000177,,,
Osteochondritis dissecans,DOID:84,is_a,DOID:0080008,,,
Osteosarcoma,DOID:3347,joint pain ,SYMP:0000064,,,
Osteosarcoma,DOID:3347,pain ,SYMP:0000099,,,
Osteosarcoma,DOID:3347,coma ,SYMP:0000605,,,
Osteosarcoma,DOID:3347,is_a,DOID:0080639,,,
Ovarian hyperstimulation syndrome,DOID:5425,nausea ,SYMP:0000458,,,
Ovarian hyperstimulation syndrome,DOID:5425,bloating ,SYMP:0000420,,,
Ovarian hyperstimulation syndrome,DOID:5425,pain ,SYMP:0000099,,,
Ovarian hyperstimulation syndrome,DOID:5425,diarrhea ,SYMP:0000570,,,
Ovarian hyperstimulation syndrome,DOID:5425,abdominal pain ,SYMP:0000457,,,
Ovarian hyperstimulation syndrome,DOID:5425,vomiting ,SYMP:0019145,,,
Ovarian hyperstimulation syndrome,DOID:5425,weight gain ,SYMP:0000403,,,
Ovarian hyperstimulation syndrome,DOID:5425,is_a,DOID:1100,,,
Optic neuritis,DOID:1210,pain ,SYMP:0000099,,,
Optic neuritis,DOID:1210,is_a,DOID:1891,,,
Obesity,DOID:9970,weight loss ,SYMP:0000178,,,
Obesity,DOID:9970,underweight ,SYMP:0000475,,,
Obesity,DOID:9970,overweight ,SYMP:0020018,,,
Obesity,DOID:9970,is_a,DOID:654,,,
Pyoderma gangrenosum,DOID:8553,pain ,SYMP:0000099,,,
Pyoderma gangrenosum,DOID:8553,is_a,DOID:4223,,,
Orchitis,DOID:2518,pain ,SYMP:0000099,,,
Orchitis,DOID:2518,nausea ,SYMP:0000458,,,
Orchitis,DOID:2518,fever ,SYMP:0000613,,,
Orchitis,DOID:2518,vomiting ,SYMP:0019145,,,
Orchitis,DOID:2518,malaise ,SYMP:0019176,,,
Orchitis,DOID:2518,is_a,DOID:2519,,,
Obstructive sleep apnea,DOID:0050848,depression ,SYMP:0000022,,,
Obstructive sleep apnea,DOID:0050848,dry mouth ,SYMP:0000260,,,
Obstructive sleep apnea,DOID:0050848,headache ,SYMP:0000504,,,
Obstructive sleep apnea,DOID:0050848,sleep apnea ,SYMP:0000581,,,
Obstructive sleep apnea,DOID:0050848,apnea ,SYMP:0000600,,,
Obstructive sleep apnea,DOID:0050848,blood pressure ,SYMP:0020063,,,
Obstructive sleep apnea,DOID:0050848,high blood pressure ,SYMP:0020064,,,
Obstructive sleep apnea,DOID:0050848,is_a,DOID:0050847,,,
Pyloric stenosis,DOID:12639,dehydration ,SYMP:0000020,,,
Pyloric stenosis,DOID:12639,weight loss ,SYMP:0000178,,,
Pyloric stenosis,DOID:12639,vomiting ,SYMP:0019145,,,
Pyloric stenosis,DOID:12639,is_a,DOID:3122,,,
Pulmonary valve stenosis,DOID:6420,pain ,SYMP:0000099,,,
Pulmonary valve stenosis,DOID:6420,chest pain ,SYMP:0000576,,,
Pulmonary valve stenosis,DOID:6420,fatigue ,SYMP:0019177,,,
Pulmonary valve stenosis,DOID:6420,is_a,DOID:5749,,,
Prolactinoma,DOID:5394,pain ,SYMP:0000099,,,
Prolactinoma,DOID:5394,headache ,SYMP:0000504,,,
Prolactinoma,DOID:5394,discharge ,SYMP:0000651,,,
Prolactinoma,DOID:5394,infertility ,SYMP:0000712,,,
Prolactinoma,DOID:5394,is_a,DOID:5395,,,
Prostatitis,DOID:14654,pain ,SYMP:0000099,,,
Prostatitis,DOID:14654,muscle ache ,SYMP:0000331,,,
Prostatitis,DOID:14654,dysuria ,SYMP:0000485,,,
Prostatitis,DOID:14654,nocturia ,SYMP:0000564,,,
Prostatitis,DOID:14654,fever ,SYMP:0000613,,,
Prostatitis,DOID:14654,chills ,SYMP:0019174,,,
Prostatitis,DOID:14654,is_a,DOID:47,,,
Psoriasis,DOID:8893,blister ,SYMP:0000009,,,
Psoriasis,DOID:8893,hyperpigmentation ,SYMP:0000056,,,
Psoriasis,DOID:8893,itching ,SYMP:0000432,,,
Psoriasis,DOID:8893,rash ,SYMP:0000487,,,
Psoriasis,DOID:8893,is_a,DOID:0060039,,,
Presbyopia,DOID:11638,blurred vision ,SYMP:0000012,,,
Presbyopia,DOID:11638,headache ,SYMP:0000504,,,
Presbyopia,DOID:11638,is_a,DOID:10034,,,
Primary ovarian insufficiency,DOID:5426,depression ,SYMP:0000022,,,
Primary ovarian insufficiency,DOID:5426,night sweats ,SYMP:0000337,,,
Primary ovarian insufficiency,DOID:5426,anxiety ,SYMP:0000412,,,
Primary ovarian insufficiency,DOID:5426,is_a,DOID:1100,,,
Premature ejaculation,DOID:13709,is_a,DOID:10132,,,
Progressive supranuclear palsy,DOID:678,depression ,SYMP:0000022,,,
Progressive supranuclear palsy,DOID:678,double vision ,SYMP:0000258,,,
Progressive supranuclear palsy,DOID:678,loss of balance ,SYMP:0000318,,,
Progressive supranuclear palsy,DOID:678,slurred speech ,SYMP:0000342,,,
Progressive supranuclear palsy,DOID:678,anxiety ,SYMP:0000412,,,
Progressive supranuclear palsy,DOID:678,sleep disturbance ,SYMP:0000566,,,
Progressive supranuclear palsy,DOID:678,dizziness ,SYMP:0000610,,,
Progressive supranuclear palsy,DOID:678,is_a,DOID:480,,,
Prader-Willi syndrome,DOID:11983,pain ,SYMP:0000099,,,
Prader-Willi syndrome,DOID:11983,weak cry ,SYMP:0000400,,,
Prader-Willi syndrome,DOID:11983,weight gain ,SYMP:0000403,,,
Prader-Willi syndrome,DOID:11983,anxiety ,SYMP:0000412,,,
Prader-Willi syndrome,DOID:11983,failure to thrive ,SYMP:0000465,,,
Prader-Willi syndrome,DOID:11983,sleep apnea ,SYMP:0000581,,,
Prader-Willi syndrome,DOID:11983,apnea ,SYMP:0000600,,,
Prader-Willi syndrome,DOID:11983,infertility ,SYMP:0000712,,,
Prader-Willi syndrome,DOID:11983,repetitive behavior ,SYMP:0019187,,,
Prader-Willi syndrome,DOID:11983,is_a,DOID:0080014,,,
Prader-Willi syndrome,DOID:11983,is_a,DOID:225,,,
Proctitis,DOID:3127,bleeding ,SYMP:0000007,,,
Proctitis,DOID:3127,pain ,SYMP:0000099,,,
Proctitis,DOID:3127,diarrhea ,SYMP:0000570,,,
Proctitis,DOID:3127,is_a,DOID:1285,,,
Primary biliary cholangitis,DOID:12236,hyperpigmentation ,SYMP:0000056,,,
Primary biliary cholangitis,DOID:12236,pain ,SYMP:0000099,,,
Primary biliary cholangitis,DOID:12236,steatorrhea ,SYMP:0000147,,,
Primary biliary cholangitis,DOID:12236,weight loss ,SYMP:0000178,,,
Primary biliary cholangitis,DOID:12236,ascites ,SYMP:0000526,,,
Primary biliary cholangitis,DOID:12236,splenomegaly ,SYMP:0000531,,,
Primary biliary cholangitis,DOID:12236,edema ,SYMP:0000538,,,
Primary biliary cholangitis,DOID:12236,jaundice ,SYMP:0000539,,,
Primary biliary cholangitis,DOID:12236,diarrhea ,SYMP:0000570,,,
Primary biliary cholangitis,DOID:12236,fatigue ,SYMP:0019177,,,
Primary biliary cholangitis,DOID:12236,is_a,DOID:0060031,,,
Primary biliary cholangitis,DOID:12236,is_a,DOID:5082,,,
Porphyria,DOID:13268,blister ,SYMP:0000009,,,
Porphyria,DOID:13268,confusion ,SYMP:0000016,,,
Porphyria,DOID:13268,paralysis ,SYMP:0000030,,,
Porphyria,DOID:13268,pain ,SYMP:0000099,,,
Porphyria,DOID:13268,seizure ,SYMP:0000124,,,
Porphyria,DOID:13268,weakness ,SYMP:0000177,,,
Porphyria,DOID:13268,anxiety ,SYMP:0000412,,,
Porphyria,DOID:13268,itching ,SYMP:0000432,,,
Porphyria,DOID:13268,nausea ,SYMP:0000458,,,
Porphyria,DOID:13268,nervous system symptom ,SYMP:0000480,,,
Porphyria,DOID:13268,palpitation ,SYMP:0000530,,,
Porphyria,DOID:13268,hallucination ,SYMP:0000607,,,
Porphyria,DOID:13268,breathing problems ,SYMP:0000868,,,
Porphyria,DOID:13268,vomiting ,SYMP:0019145,,,
Porphyria,DOID:13268,muscle pain ,SYMP:0019161,,,
Porphyria,DOID:13268,constipation ,SYMP:0019180,,,
Porphyria,DOID:13268,blood pressure ,SYMP:0020063,,,
Porphyria,DOID:13268,high blood pressure ,SYMP:0020064,,,
Porphyria,DOID:13268,is_a,DOID:655,,,
Polymyositis,DOID:0080745,muscle weakness ,SYMP:0000094,,,
Polymyositis,DOID:0080745,weakness ,SYMP:0000177,,,
Polymyositis,DOID:0080745,is_a,DOID:0060032,,,
Polymyositis,DOID:0080745,is_a,DOID:633,,,
Polymyalgia rheumatica,DOID:853,depression ,SYMP:0000022,,,
Polymyalgia rheumatica,DOID:853,pain ,SYMP:0000099,,,
Polymyalgia rheumatica,DOID:853,weight loss ,SYMP:0000178,,,
Polymyalgia rheumatica,DOID:853,loss of appetite ,SYMP:0000309,,,
Polymyalgia rheumatica,DOID:853,fever ,SYMP:0000613,,,
Polymyalgia rheumatica,DOID:853,mild fever ,SYMP:0000881,,,
Polymyalgia rheumatica,DOID:853,malaise ,SYMP:0019176,,,
Polymyalgia rheumatica,DOID:853,fatigue ,SYMP:0019177,,,
Polymyalgia rheumatica,DOID:853,is_a,DOID:0060032,,,
Polymyalgia rheumatica,DOID:853,is_a,DOID:854,,,
Polycythemia vera,DOID:8997,bleeding ,SYMP:0000007,,,
Polycythemia vera,DOID:8997,blurred vision ,SYMP:0000012,,,
Polycythemia vera,DOID:8997,pain ,SYMP:0000099,,,
Polycythemia vera,DOID:8997,weakness ,SYMP:0000177,,,
Polycythemia vera,DOID:8997,bloating ,SYMP:0000420,,,
Polycythemia vera,DOID:8997,headache ,SYMP:0000504,,,
Polycythemia vera,DOID:8997,dizziness ,SYMP:0000610,,,
Polycythemia vera,DOID:8997,fatigue ,SYMP:0019177,,,
Polycythemia vera,DOID:8997,is_a,DOID:2226,,,
